comments,new_comments
These people are freaks!,people freak
Ben Shapiro is correct.,ben shapiro correct
I wish I was Ben for that moment. The coroner would have been pulling that dudes nuts out of Ã¢â¬ÅherÃ¢â¬_x009d_ mouth.,wish ben moment coroner would pull dude nut her_xd _ mouth
"If you're the smartest one in the room, you're in the wrong room.",smart one room wrong room
"He'd never say that to someone that is a physical threat, cowardly.",would never say someone physical threat cowardly
Everyone in the room flunked biology except Ben.,everyone room flunk biology except ben
Why would he go home in an ambulance?,would go home ambulance
He is disgusting with a disgusting ideology. Ã°Å¸Â¤Â®,disgust disgusting ideology
"looks like a man, sounds like a man, physically violent",look like man sound like man physically violent
So ambulance is going to take him home??! That thing is crazy!,ambulance going take home thing crazy
It's her you're not being polite to the pronouns Ã°Å¸Ëâ,polite pronoun
I only see Ben Shapiro standing for truth without fear while many people around there are fearful to stand for truth and choses to side on the foolishness.,see ben shapiro stand truth without fear many people around fearful stand truth chose side foolishness
"I don't care what side you're on in this debate, what Zoe Tur did is not justified in any way
Also funnily enough, Caitlyn herself mostly agrees with Ben on this lol",care side debate zoe tur justified way also funnily enough caitlyn mostly agree ben lol
"that dude crossdresser she is a man, male, gentleman",dude crossdresser man male gentleman
Is that Quagmires dad?,quagmire dad
Was that threat from the man inside inside or what?,threat man inside inside
"Ben wimped out. He can say whatever he wants on podcasts now. But he was like a deer in the headlights here.

The leader of the high school debate team sees what its like on the street in the real world.",ben wimpe say whatever want podcast like deer headlight leader high school debate team see like street real world
So that man can threaten ben shapiro and no charges or arrrest.  Lock up the loser.  He is a man and needs to grow up.  You dont treaten ppl with your arm around there neck....,man threaten ben shapiro charge arrr lock loser man need grow treaten people arm around neck
"So fucked up that after someone puts their hands on someone else and threatens with physical violence, the hosts focus on the supposed rudeness of the person being threatened instead of condemning the threat.

This is identity politics gone too far. Trans person=victim no matter what. You disagree with something, you are a transphobe.",fuck someone put hand someone else threaten physical violence host focus suppose rudeness person threaten instead condemn threat identity politic go far trans personvictim matter disagree something transphobe
very hard to keep your male side hidden when annoyed lol,hard keep male side hide annoyed lol
"This is crazy how this has gone this far, man is man woman is woman, thats it, ben kept calm, while the OTHER MAN threaten him, smh",crazy go far man man woman woman ben keep calm man threaten smh
Mr Zoey Turd is a fraud,mr zoey turd fraud
Ben is a legend . Thank God for him,ben legend thank god
Still got that dog in you lol. Cant hide that.,still get dog lol can not hide
Lmao you'll go home in a ambulance.,lmao go home ambulance
He got his cock chopped cause Diddy said he had too...,get cock chop diddy say
"""You knew what you said would incite violence""  so it's ok to be violent if someone hurts your feelings?",know say would incite violence ok violent someone hurt feeling
IÃ¢â¬â¢m sorry we are gonna need a replay on that. Being transgender is the bravest thing you can do?! Who dropped this man on his head?,I m sorry go need replay transgend brave thing drop man head
Bruce stole a legitimate Award for women. Lunacy. Sick.,bruce steal legitimate award woman lunacy sick
"It's so funny that Ben said ""facts don't care about your feelings"" since Ben's arguing from emotion here, and the facts are completely against him on this.
 Ben should've said ""My feelings don't care about the facts.""",funny ben say fact care feeling since ben argue emotion fact completely ben say feeling care fact
"Como cuando te sale el verdadero YO en ti: y haces un comentario totalmente de hombre/macho, y eso puedes verlo en la naturaleza, los hombres/machos al sentirnos que estamos 
perdiendo el control frente a otro macho, tratamos de recuperarlo a base de la fuerza bruta, y bueno aqui el chiste se cuenta solo: aqui shapiro le hubiera contestado: ya ves? al final 
se te salio el machito del que tanto estas tratando de desaparecer",como cuando te sale el verdadero yo en ti hace un comentario totalmente de hombremacho eso puede verlo en la naturaleza los hombresmachos al sentirnos que estamos perdiendo el control frente otro macho tratamos de recuperarlo base de la fuerza bruta bueno aqui el chiste se cuenta solo aqui shapiro le hubiera contestado ya ves al final se te salio el machito del que tanto estas tratando de desaparecer
"If America discusses this issue, then she is on the path to real decline. Smh.",america discuss issue path real decline smh
"The most difficult thing you can do is being an actual mother with a dead child.   He needs to live in the real world! This MAN makes me sick!  Genetics are pushing a
 living person out of your own body!  I would like to this alleged woman who is actually a man perform this act!",difficult thing actual mother dead child need live real world man make sick genetic push live person body would like allege woman actually man perform act
