comments,new_comments
These people are freaks!,these people be freak
Ben Shapiro is correct.,ben shapiro be correct
I wish I was Ben for that moment. The coroner would have been pulling that dudes nuts out of Ã¢â¬ÅherÃ¢â¬_x009d_ mouth.,I wish I be ben for that moment the coroner would have be pull that dude nuts out of her_xd _ mouth
"If you're the smartest one in the room, you're in the wrong room.",if you be the smart one in the room you be in the wrong room
"He'd never say that to someone that is a physical threat, cowardly.",he would never say that to someone that be a physical threat cowardly
Everyone in the room flunked biology except Ben.,everyone in the room flunk biology except ben
Why would he go home in an ambulance?,why would he go home in an ambulance
He is disgusting with a disgusting ideology. Ã°Å¸Â¤Â®,he be disgusting with a disgusting ideology
"looks like a man, sounds like a man, physically violent",look like a man sound like a man physically violent
So ambulance is going to take him home??! That thing is crazy!,so ambulance be go to take he home that thing be crazy
It's her you're not being polite to the pronouns Ã°Å¸Ëâ,it be she you be not be polite to the pronoun
I only see Ben Shapiro standing for truth without fear while many people around there are fearful to stand for truth and choses to side on the foolishness.,I only see ben shapiro stand for truth without fear while many people around there be fearful to stand for truth and chose to side on the foolishness
"I don't care what side you're on in this debate, what Zoe Tur did is not justified in any way
Also funnily enough, Caitlyn herself mostly agrees with Ben on this lol",I do not care what side you be on in this debate what zoe tur do be not justify in any way also funnily enough caitlyn herself mostly agree with ben on this lol
"that dude crossdresser she is a man, male, gentleman",that dude crossdresser she be a man male gentleman
Is that Quagmires dad?,be that quagmire dad
Was that threat from the man inside inside or what?,be that threat from the man inside inside or what
"Ben wimped out. He can say whatever he wants on podcasts now. But he was like a deer in the headlights here.

The leader of the high school debate team sees what its like on the street in the real world.",ben wimpe out he can say whatever he want on podcast now but he be like a deer in the headlight here the leader of the high school debate team see what its like on the street in the real world
So that man can threaten ben shapiro and no charges or arrrest.  Lock up the loser.  He is a man and needs to grow up.  You dont treaten ppl with your arm around there neck....,so that man can threaten ben shapiro and no charge or arrr lock up the loser he be a man and need to grow up you do not treaten people with your arm around there neck
"So fucked up that after someone puts their hands on someone else and threatens with physical violence, the hosts focus on the supposed rudeness of the person being threatened instead of condemning the threat.

This is identity politics gone too far. Trans person=victim no matter what. You disagree with something, you are a transphobe.",so fuck up that after someone put their hand on someone else and threaten with physical violence the host focus on the suppose rudeness of the person be threaten instead of condemn the threat this be identity politic go too far trans personvictim no matter what you disagree with something you be a transphobe
very hard to keep your male side hidden when annoyed lol,very hard to keep your male side hide when annoyed lol
"This is crazy how this has gone this far, man is man woman is woman, thats it, ben kept calm, while the OTHER MAN threaten him, smh",this be crazy how this have go this far man be man woman be woman that be it ben keep calm while the other man threaten he smh
Mr Zoey Turd is a fraud,mr zoey turd be a fraud
Ben is a legend . Thank God for him,ben be a legend   thank god for he
Still got that dog in you lol. Cant hide that.,still get that dog in you lol can not hide that
Lmao you'll go home in a ambulance.,lmao you will go home in a ambulance
He got his cock chopped cause Diddy said he had too...,he get his cock chop because diddy say he have too
"""You knew what you said would incite violence""  so it's ok to be violent if someone hurts your feelings?",you know what you say would incite violence so it be ok to be violent if someone hurt your feeling
